timestep,reward
1,0.469
303,0.5
609,0.4065
919,0.4945
1161,0.465
1409,0.4145
1683,0.506
1997,0.3745
2274,0.632
2532,1.1125
2818,1.643
3127,1.7795
3426,1.778
3715,1.7805
4055,1.971
4352,1.9165
4689,1.9375
5025,2.0675
5330,2.16
5671,2.1065
5965,2.0655
6267,2.073
6591,1.95
6932,2.296
7256,2.05
7556,2.206
7849,2.1875
8177,2.0335
8477,2.1915
8794,2.1445
9145,2.0985
9449,2.1965
9753,2.2525
10085,2.2855
10392,1.9595
10696,2.266
11022,1.959
11389,2.189
11687,2.077
12015,2.0145
12373,1.9185
12678,1.778
13018,1.9235
13436,2.107
13759,2.0145
14176,1.9205
14524,2.081
14835,1.981
15174,2.0515
15483,2.0165
15791,2.118
16118,1.9575
16445,1.8795
16789,1.9235
17135,1.9305
17489,2.017
17798,2.033
18145,1.859
18468,2.088
18824,2.0355
19136,2.032
19505,2.2595
19834,2.013
20149,2.0985
20469,1.929
20820,1.965
21154,2.1485
21493,2.069
21806,1.929
22097,1.9555
22459,1.8795
22826,2.086
23228,1.8685
23541,2.172
23923,1.7845
24275,1.93
24590,1.858
24953,2.191
25327,2.0365
25704,2.2015
26101,2.0365
26452,2.1565
26899,2.1075
27231,1.905
27597,2.0435
27974,1.8845
28324,1.864
28685,2.005
29026,1.916
29396,2.042
29804,1.897
30133,2.094
30487,2.106
30826,2.1045
31169,2.129
31550,1.9155
31927,2.041
32271,2.0535
32620,2.1875
33042,1.9945
33454,2.0405
33878,2.066
34288,1.972
34658,2.1455
35084,2.0665
35500,2.1295
35856,1.874
36214,1.924
36580,2.023
36962,2.007
37340,2.139
37713,1.9845
38096,2.015
38511,1.9485
38893,1.839
39267,2.233
39636,2.0195
40050,2.145
40475,2.134
40844,2.221
41177,2.008
41567,2.31
41947,2.027
42386,1.9775
42695,1.866
43093,2.046
43500,1.9335
43887,2.169
44298,2.049
44698,2.052
45104,1.9995
45503,2.0505
45918,2.2015
46314,2.061
46701,2.202
47078,2.076
47496,2.123
47849,2.0775
48255,2.04
48720,1.9015
49096,2.0505
49499,2.0685
49953,2.1755
50353,2.12
50782,2.149
51195,2.0075
51607,2.1015
52034,2.293
52431,2.1045
52860,2.155
53239,2.0215
53626,2.046
53996,2.1375
54372,2.283
54774,2.0605
55154,2.1435
55557,2.3065
55988,2.095
56409,2.0375
56850,2.136
57346,2.4365
57742,2.1365
58091,1.7975
58513,1.953
58969,2.161
59370,1.943
59796,2.0975
60255,2.1575
60641,2.024
61106,2.1475
61513,1.94
61920,2.2155
62302,2.0185
62718,1.859
63132,2.153
63547,2.0925
63952,2.065
64384,1.902
64827,2.171
65260,2.033
65675,2.054
66070,2.0255
66455,1.8295
66857,2.0115
67329,2.1825
67713,2.133
68163,2.206
68556,2.011
69029,2.199
69423,1.878
69851,2.0065
70243,1.9225
70618,1.983
71083,2.2575
71522,2.1445
71964,2.2315
72456,2.051
72834,2.3255
73288,2.383
73738,2.1925
74149,2.218
74589,2.1775
75016,2.115
75387,2.196
75830,2.117
76248,1.951
76663,2.092
77042,2.247
77391,2.2375
77801,2.2365
78182,2.1065
78583,2.191
78954,1.9275
79361,2.1725
79812,2.3595
80247,2.294
80702,2.074
81128,2.007
81534,2.0945
81919,2.3495
82347,2.178
82806,1.9315
83193,1.9925
83627,2.074
84012,2.26
84408,1.919
84797,2.173
85172,2.217
85609,2.2015
85951,2.17
86322,2.1275
86728,2.1025
87071,2.056
87451,2.0745
87857,2.1565
88228,2.05
88625,2.102
89054,2.2545
89448,2.0675
89816,2.0835
90175,2.0975
90603,2.203
91003,2.0485
91359,1.9685
91775,2.3245
92161,1.981
92536,2.0425
92915,2.2975
93329,2.197
93685,2.0065
94096,2.2655
94560,2.114
94990,2.0685
95389,2.362
95811,1.959
96221,2.0705
96617,1.8565
97023,2.0335
97396,2.1735
97736,2.1295
98079,2.14
98451,2.1865
98809,2.247
99246,2.102
99649,2.117
100081,2.389
100416,1.976
100790,1.925
101106,2.189
101482,1.8975
101917,2.041
102321,2.0065
102739,1.9975
103143,2.113
103548,2.221
103923,1.9865
104367,1.988
104784,2.081
105235,2.058
105665,1.9035
106039,2.1205
106421,2.116
106805,2.0575
107197,2.037
107562,2.1305
107944,2.1795
108311,1.9705
108723,2.342
109162,1.9855
109540,2.0915
109912,2.0845
110294,1.6855
110677,2.1565
111098,1.889
111470,2.2295
111889,2.1
112290,2.091
112663,1.99
113081,2.1835
113400,2.121
113768,1.8425
114234,2.437
114647,2.033
115045,1.942
115499,2.04
115890,2.221
116330,2.1355
116711,2.0765
117148,1.888
117543,1.986
117920,1.9545
118341,2.212
118744,1.936
119173,2.0005
119540,1.88
119903,2.038
120302,1.8595
120710,1.853
121100,1.9985
121475,1.965
121838,2.094
122249,2.029
122623,1.991
122972,2.0095
123357,2.481
123728,2.109
124115,2.0635
124455,1.914
124829,2.0045
125160,1.8965
125617,2.138
126058,2.0175
126416,2.005
126757,2.1295
127130,1.892
127572,2.005
127941,2.0815
128345,1.9385
128713,2.044
129050,2.0955
129432,2.088
129854,2.088
130211,1.8885
130534,1.904
130916,2.1915
131323,2.1495
131709,2.2465
132124,2.1575
132550,2.3415
132978,2.1955
133362,2.104
133755,2.042
134145,2.027
134522,2.0225
134977,2.0075
135329,2.044
135711,2.24
136123,2.067
136560,2.129
136890,2.2385
137224,2.225
137621,1.967
138011,2.1625
138429,2.1865
138820,2.2385
139201,2.1545
139587,2.028
139948,2.167
140370,1.944
140765,2.0335
141177,1.92
141589,1.9365
141973,2.127
142324,2.242
142733,1.9915
143129,2.1395
143521,2.012
143928,2.1525
144330,2.042
144687,2.1155
145122,1.9125
